ticker,cik,adsh,period,status,filing_url
VLO,1035002,0001628280-26-011499,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1035002/000162828026011499/
VLTO,1967680,0001967680-26-000011,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1967680/000196768026000011/
VRSK,1442145,0001437749-26-004452,20251231,untagged,https://www.sec.gov/Archives/edgar/data/1442145/000143774926004452/
VRT,1674101,0001674101-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1674101/000167410126000008/
VST,1692819,0001692819-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1692819/000169281926000006/
VMC,1396009,0001628280-26-009546,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1396009/000162828026009546/
GWW,277135,0000277135-26-000011,20251231,tagged,https://www.sec.gov/Archives/edgar/data/277135/000027713526000011/
WAB,943452,0001628280-26-008067,20251231,tagged,https://www.sec.gov/Archives/edgar/data/943452/000162828026008067/
WMT,104169,0000104169-26-000055,20260131,tagged,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/
WM,823768,0001104659-26-012049,20251231,tagged,https://www.sec.gov/Archives/edgar/data/823768/000110465926012049/
WEC,783325,0000783325-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/783325/000078332526000018/
WSM,719955,0000719955-26-000059,20260131,tagged,https://www.sec.gov/Archives/edgar/data/719955/000071995526000059/
WMB,107263,0000107263-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/107263/000010726326000006/
WYNN,1174922,0001174922-26-000013,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1174922/000117492226000013/
XEL,72903,0000072903-26-000009,20251231,untagged,https://www.sec.gov/Archives/edgar/data/72903/000007290326000009/
XYL,1524472,0001524472-26-000012,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1524472/000152447226000012/
YUM,1041061,0001041061-26-000084,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1041061/000104106126000084/
